"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"PITCH_MM_";"POPULARITY";"POSITIONS";"PRODUCT";"ROWS-CONFIG";"SOURCELIBRARY";"SPICEPREFIX";"TE_PART_NUMBER";"TYPE";"VENDOR";
"C1";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";
"C2";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";
"C3";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";
"C4";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";
"C5";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";
"C6";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"C7";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"C8";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"C9";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"C10";"470n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"";"";"C";"";"";"";
"D1";"BAT46ZFILM3D";"BAT46ZFILM3D";"SOD-123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"BAT46ZFILM3D";"BAT46ZFILM3D";"SOD-123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"BAT46ZFILM3D";"BAT46ZFILM3D";"SOD-123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"BAT46ZFILM3D";"BAT46ZFILM3D";"SOD-123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D5";"BAT46ZFILM3D";"BAT46ZFILM3D";"SOD-123";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"STCS1PHR3D_AUTO";"STCS1PHR3D_AUTO";"SOIC127P600X170-9T251X320N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"STCS1PHR3D_AUTO";"STCS1PHR3D_AUTO";"SOIC127P600X170-9T251X320N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"STCS1PHR3D_AUTO";"STCS1PHR3D_AUTO";"SOIC127P600X170-9T251X320N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC4";"STCS1PHR3D_AUTO";"STCS1PHR3D_AUTO";"SOIC127P600X170-9T251X320N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC5";"STCS1PHR3D_AUTO";"STCS1PHR3D_AUTO";"SOIC127P600X170-9T251X320N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"J1";"1776275-2";"1776275-2";"CONN2_1776275-2";"";"EMA_UL_Team";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1776275&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=1776275-2";"Vertical Term Blk Side Wire En";"1776275-2";"3.5";"";"2";"Terminal Block Headers & Receptacles";"-";"TE_Connectivity_250_Part_Delivery_6_2018-09-18";"";"1776275-2";"Receptacle";"TE Connectivity";
"J2";"1776275-2";"1776275-2";"CONN2_1776275-2";"";"EMA_UL_Team";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1776275&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=1776275-2";"Vertical Term Blk Side Wire En";"1776275-2";"3.5";"";"2";"Terminal Block Headers & Receptacles";"-";"TE_Connectivity_250_Part_Delivery_6_2018-09-18";"";"1776275-2";"Receptacle";"TE Connectivity";
"J3";"1776275-2";"1776275-2";"CONN2_1776275-2";"";"EMA_UL_Team";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1776275&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=1776275-2";"Vertical Term Blk Side Wire En";"1776275-2";"3.5";"";"2";"Terminal Block Headers & Receptacles";"-";"TE_Connectivity_250_Part_Delivery_6_2018-09-18";"";"1776275-2";"Receptacle";"TE Connectivity";
"J4";"1776275-2";"1776275-2";"CONN2_1776275-2";"";"EMA_UL_Team";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1776275&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=1776275-2";"Vertical Term Blk Side Wire En";"1776275-2";"3.5";"";"2";"Terminal Block Headers & Receptacles";"-";"TE_Connectivity_250_Part_Delivery_6_2018-09-18";"";"1776275-2";"Receptacle";"TE Connectivity";
"J5";"1776275-2";"1776275-2";"CONN2_1776275-2";"";"EMA_UL_Team";"Copyright (C) 2016 Accelerated Designs. All rights reserved";"https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1776275&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=1776275-2";"Vertical Term Blk Side Wire En";"1776275-2";"3.5";"";"2";"Terminal Block Headers & Receptacles";"-";"TE_Connectivity_250_Part_Delivery_6_2018-09-18";"";"1776275-2";"Receptacle";"TE Connectivity";
